matrikelnummer,firstname,name,projects,negatives,skill,programing_skills
234,Firstname,Name,"['Projekt 58', 'Projekt 34', 'Projekt 47']","['Projekt 31', 'Projekt 53']",Programmieren,"{""C"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
235,Firstname,Name,"['Projekt 26', 'Projekt 28', 'Projekt 3']","['Projekt 27', 'Projekt 53']",Programmieren,"{""C++"":""Fortgeschritten"",""C#"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
236,Firstname,Name,"['Projekt 58', 'Projekt 57', 'Projekt 41']","['Projekt 36', 'Projekt 59']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
237,Firstname,Name,"['Projekt 1', 'Projekt 44', 'Projekt 42']","['Projekt 37', 'Projekt 25']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Experte"",""Python"":""Anfänger"",""PHP"":""Fortgeschritten""}"
238,Firstname,Name,"['Projekt 41', 'Projekt 17', 'Projekt 30']","['Projekt 16', 'Projekt 47']",Programmieren,"{""C++"":""Experte"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte""}"
239,Firstname,Name,"['Projekt 9', 'Projekt 49', 'Projekt 21']","['Projekt 19', 'Projekt 56']",Programmieren,"{""C++"":""Fortgeschritten"",""Java"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
240,Firstname,Name,"['Projekt 33', 'Projekt 58', 'Projekt 56']","['Projekt 6', 'Projekt 0']",Programmieren,"{""C++"":""Anfänger"",""C#"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
241,Firstname,Name,"['Projekt 54', 'Projekt 14', 'Projekt 27']","['Projekt 47', 'Projekt 45']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
242,Firstname,Name,"['Projekt 58', 'Projekt 21', 'Projekt 23']","['Projekt 34', 'Projekt 4']",Schreiben,"{""C++"":""Experte"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten""}"
243,Firstname,Name,"['Projekt 34', 'Projekt 57', 'Projekt 0']","['Projekt 25', 'Projekt 47']",Programmieren,"{""C++"":""Experte"",""Java"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
244,Firstname,Name,"['Projekt 29', 'Projekt 26', 'Projekt 28']","['Projekt 48', 'Projekt 6']",Schreiben,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
245,Firstname,Name,"['Projekt 14', 'Projekt 39', 'Projekt 53']","['Projekt 59', 'Projekt 49']",Schreiben,"{""C++"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
246,Firstname,Name,"['Projekt 45', 'Projekt 9', 'Projekt 44']","['Projekt 22', 'Projekt 27']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
247,Firstname,Name,"['Projekt 11', 'Projekt 49', 'Projekt 31']","['Projekt 4', 'Projekt 50']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten""}"
248,Firstname,Name,"['Projekt 9', 'Projekt 26', 'Projekt 10']","['Projekt 44', 'Projekt 45']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
249,Firstname,Name,"['Projekt 45', 'Projekt 29', 'Projekt 4']","['Projekt 55', 'Projekt 15']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
250,Firstname,Name,"['Projekt 5', 'Projekt 16', 'Projekt 19']","['Projekt 34', 'Projekt 7']",Schreiben,"{""C++"":""Experte"",""C#"":""Experte"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
251,Firstname,Name,"['Projekt 11', 'Projekt 14', 'Projekt 2']","['Projekt 38', 'Projekt 51']",Programmieren,"{""C"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
252,Firstname,Name,"['Projekt 36', 'Projekt 15', 'Projekt 2']","['Projekt 51', 'Projekt 50']",Programmieren,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""PHP"":""Anfänger""}"
253,Firstname,Name,"['Projekt 36', 'Projekt 38', 'Projekt 31']","['Projekt 40', 'Projekt 53']",Programmieren,"{""C"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
254,Firstname,Name,"['Projekt 40', 'Projekt 37', 'Projekt 2']","['Projekt 19', 'Projekt 24']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
255,Firstname,Name,"['Projekt 44', 'Projekt 1', 'Projekt 42']","['Projekt 22', 'Projekt 10']",Schreiben,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
256,Firstname,Name,"['Projekt 12', 'Projekt 6', 'Projekt 16']","['Projekt 3', 'Projekt 51']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""PHP"":""Fortgeschritten""}"
257,Firstname,Name,"['Projekt 25', 'Projekt 47', 'Projekt 8']","['Projekt 20', 'Projekt 3']",Programmieren,"{""C"":""Experte"",""C#"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
258,Firstname,Name,"['Projekt 36', 'Projekt 13', 'Projekt 18']","['Projekt 4', 'Projekt 57']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
259,Firstname,Name,"['Projekt 47', 'Projekt 25', 'Projekt 38']","['Projekt 59', 'Projekt 49']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
260,Firstname,Name,"['Projekt 38', 'Projekt 7', 'Projekt 14']","['Projekt 46', 'Projekt 11']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
261,Firstname,Name,"['Projekt 4', 'Projekt 47', 'Projekt 44']","['Projekt 57', 'Projekt 35']",Programmieren,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
262,Firstname,Name,"['Projekt 25', 'Projekt 36', 'Projekt 5']","['Projekt 54', 'Projekt 7']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
263,Firstname,Name,"['Projekt 21', 'Projekt 26', 'Projekt 5']","['Projekt 18', 'Projekt 22']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
264,Firstname,Name,"['Projekt 48', 'Projekt 11', 'Projekt 9']","['Projekt 20', 'Projekt 36']",Schreiben,"{""C"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
265,Firstname,Name,"['Projekt 26', 'Projekt 0', 'Projekt 14']","['Projekt 46', 'Projekt 28']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
266,Firstname,Name,"['Projekt 33', 'Projekt 43', 'Projekt 58']","['Projekt 12', 'Projekt 34']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
267,Firstname,Name,"['Projekt 12', 'Projekt 19', 'Projekt 39']","['Projekt 36', 'Projekt 48']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
268,Firstname,Name,"['Projekt 49', 'Projekt 17', 'Projekt 9']","['Projekt 7', 'Projekt 11']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""Java"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
269,Firstname,Name,"['Projekt 33', 'Projekt 29', 'Projekt 18']","['Projekt 27', 'Projekt 0']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
270,Firstname,Name,"['Projekt 44', 'Projekt 55', 'Projekt 1']","['Projekt 47', 'Projekt 25']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
271,Firstname,Name,"['Projekt 40', 'Projekt 29', 'Projekt 32']","['Projekt 52', 'Projekt 6']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten""}"
272,Firstname,Name,"['Projekt 36', 'Projekt 29', 'Projekt 23']","['Projekt 32', 'Projekt 4']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""Java"":""Experte"",""Python"":""Experte"",""JavaScript"":""Experte""}"
273,Firstname,Name,"['Projekt 54', 'Projekt 17', 'Projekt 2']","['Projekt 39', 'Projekt 7']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
274,Firstname,Name,"['Projekt 37', 'Projekt 52', 'Projekt 51']","['Projekt 18', 'Projekt 54']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Experte"",""Python"":""Anfänger"",""PHP"":""Fortgeschritten""}"
275,Firstname,Name,"['Projekt 21', 'Projekt 58', 'Projekt 28']","['Projekt 33', 'Projekt 31']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""Java"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
276,Firstname,Name,"['Projekt 56', 'Projekt 5', 'Projekt 54']","['Projekt 41', 'Projekt 29']",Schreiben,"{""C"":""Experte"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
277,Firstname,Name,"['Projekt 41', 'Projekt 55', 'Projekt 54']","['Projekt 7', 'Projekt 59']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""PHP"":""Anfänger""}"
278,Firstname,Name,"['Projekt 20', 'Projekt 34', 'Projekt 18']","['Projekt 19', 'Projekt 26']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""Java"":""Experte"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
279,Firstname,Name,"['Projekt 45', 'Projekt 56', 'Projekt 30']","['Projekt 13', 'Projekt 43']",Programmieren,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
280,Firstname,Name,"['Projekt 13', 'Projekt 41', 'Projekt 34']","['Projekt 58', 'Projekt 11']",Schreiben,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Experte""}"
281,Firstname,Name,"['Projekt 9', 'Projekt 2', 'Projekt 16']","['Projekt 57', 'Projekt 10']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Fortgeschritten""}"
282,Firstname,Name,"['Projekt 47', 'Projekt 58', 'Projekt 57']","['Projekt 10', 'Projekt 13']",Programmieren,"{""C"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
283,Firstname,Name,"['Projekt 9', 'Projekt 25', 'Projekt 13']","['Projekt 39', 'Projekt 7']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""JavaScript"":""Experte""}"
284,Firstname,Name,"['Projekt 29', 'Projekt 52', 'Projekt 27']","['Projekt 46', 'Projekt 47']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Anfänger"",""PHP"":""Anfänger""}"
285,Firstname,Name,"['Projekt 5', 'Projekt 51', 'Projekt 25']","['Projekt 18', 'Projekt 45']",Programmieren,"{""C"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten""}"
286,Firstname,Name,"['Projekt 31', 'Projekt 59', 'Projekt 27']","['Projekt 38', 'Projekt 30']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
287,Firstname,Name,"['Projekt 30', 'Projekt 57', 'Projekt 6']","['Projekt 29', 'Projekt 17']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
288,Firstname,Name,"['Projekt 31', 'Projekt 36', 'Projekt 20']","['Projekt 18', 'Projekt 46']",Schreiben,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""PHP"":""Anfänger""}"
289,Firstname,Name,"['Projekt 6', 'Projekt 52', 'Projekt 32']","['Projekt 1', 'Projekt 33']",Schreiben,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""PHP"":""Fortgeschritten""}"
290,Firstname,Name,"['Projekt 24', 'Projekt 27', 'Projekt 6']","['Projekt 48', 'Projekt 57']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
291,Firstname,Name,"['Projekt 17', 'Projekt 42', 'Projekt 56']","['Projekt 43', 'Projekt 39']",Programmieren,"{""C++"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
292,Firstname,Name,"['Projekt 41', 'Projekt 45', 'Projekt 37']","['Projekt 32', 'Projekt 55']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Experte""}"
293,Firstname,Name,"['Projekt 22', 'Projekt 52', 'Projekt 38']","['Projekt 20', 'Projekt 6']",Programmieren,"{""C"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
294,Firstname,Name,"['Projekt 34', 'Projekt 41', 'Projekt 47']","['Projekt 56', 'Projekt 38']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
295,Firstname,Name,"['Projekt 19', 'Projekt 38', 'Projekt 31']","['Projekt 22', 'Projekt 11']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
296,Firstname,Name,"['Projekt 37', 'Projekt 20', 'Projekt 6']","['Projekt 43', 'Projekt 31']",Programmieren,"{""C#"":""Experte"",""HTML/CSS"":""Experte""}"
297,Firstname,Name,"['Projekt 15', 'Projekt 47', 'Projekt 44']","['Projekt 10', 'Projekt 2']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
298,Firstname,Name,"['Projekt 22', 'Projekt 15', 'Projekt 50']","['Projekt 13', 'Projekt 42']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""HTML/CSS"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
299,Firstname,Name,"['Projekt 3', 'Projekt 56', 'Projekt 21']","['Projekt 44', 'Projekt 28']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""PHP"":""Experte""}"
300,Firstname,Name,"['Projekt 44', 'Projekt 1', 'Projekt 52']","['Projekt 11', 'Projekt 27']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
301,Firstname,Name,"['Projekt 12', 'Projekt 32', 'Projekt 29']","['Projekt 36', 'Projekt 20']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""Python"":""Fortgeschritten"",""PHP"":""Anfänger""}"
302,Firstname,Name,"['Projekt 59', 'Projekt 34', 'Projekt 42']","['Projekt 44', 'Projekt 2']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
303,Firstname,Name,"['Projekt 47', 'Projekt 41', 'Projekt 26']","['Projekt 54', 'Projekt 13']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
304,Firstname,Name,"['Projekt 49', 'Projekt 52', 'Projekt 43']","['Projekt 19', 'Projekt 7']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
305,Firstname,Name,"['Projekt 10', 'Projekt 6', 'Projekt 12']","['Projekt 11', 'Projekt 37']",Programmieren,"{""C"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten""}"
306,Firstname,Name,"['Projekt 35', 'Projekt 54', 'Projekt 7']","['Projekt 12', 'Projekt 47']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
307,Firstname,Name,"['Projekt 31', 'Projekt 45', 'Projekt 35']","['Projekt 47', 'Projekt 14']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
308,Firstname,Name,"['Projekt 22', 'Projekt 55', 'Projekt 21']","['Projekt 40', 'Projekt 56']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
309,Firstname,Name,"['Projekt 45', 'Projekt 35', 'Projekt 36']","['Projekt 20', 'Projekt 41']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
310,Firstname,Name,"['Projekt 56', 'Projekt 6', 'Projekt 0']","['Projekt 18', 'Projekt 7']",Programmieren,"{""C"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
311,Firstname,Name,"['Projekt 32', 'Projekt 39', 'Projekt 44']","['Projekt 29', 'Projekt 19']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
312,Firstname,Name,"['Projekt 53', 'Projekt 29', 'Projekt 6']","['Projekt 55', 'Projekt 36']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
313,Firstname,Name,"['Projekt 48', 'Projekt 26', 'Projekt 58']","['Projekt 11', 'Projekt 45']",Programmieren,"{""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger""}"
314,Firstname,Name,"['Projekt 20', 'Projekt 54', 'Projekt 57']","['Projekt 41', 'Projekt 48']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
315,Firstname,Name,"['Projekt 47', 'Projekt 10', 'Projekt 16']","['Projekt 43', 'Projekt 8']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
316,Firstname,Name,"['Projekt 32', 'Projekt 48', 'Projekt 54']","['Projekt 22', 'Projekt 15']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
317,Firstname,Name,"['Projekt 6', 'Projekt 13', 'Projekt 47']","['Projekt 44', 'Projekt 42']",Schreiben,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
318,Firstname,Name,"['Projekt 46', 'Projekt 10', 'Projekt 5']","['Projekt 24', 'Projekt 33']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
319,Firstname,Name,"['Projekt 19', 'Projekt 9', 'Projekt 46']","['Projekt 32', 'Projekt 7']",Schreiben,"{""C"":""Anfänger"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
320,Firstname,Name,"['Projekt 40', 'Projekt 13', 'Projekt 15']","['Projekt 42', 'Projekt 36']",Schreiben,"{""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
321,Firstname,Name,"['Projekt 44', 'Projekt 29', 'Projekt 25']","['Projekt 33', 'Projekt 15']",Programmieren,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
322,Firstname,Name,"['Projekt 25', 'Projekt 51', 'Projekt 13']","['Projekt 53', 'Projekt 20']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
323,Firstname,Name,"['Projekt 8', 'Projekt 27', 'Projekt 22']","['Projekt 40', 'Projekt 49']",Schreiben,"{""C"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
324,Firstname,Name,"['Projekt 49', 'Projekt 17', 'Projekt 9']","['Projekt 10', 'Projekt 48']",Programmieren,"{""C#"":""Experte"",""Java"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
325,Firstname,Name,"['Projekt 48', 'Projekt 32', 'Projekt 31']","['Projekt 21', 'Projekt 29']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
326,Firstname,Name,"['Projekt 36', 'Projekt 41', 'Projekt 7']","['Projekt 55', 'Projekt 51']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
